claim_id,claim_text,topic
1,"Drinking hot water cures all viruses instantly.",health
2,"Climate change is a hoax created by scientists for funding.",climate
3,"Professional athletes never get injured because they're superhuman.",sports
4,"5G towers cause cancer and control people's minds.",tech
5,"Organic food has zero nutritional value compared to regular food.",agriculture
6,"Vaccines contain microchips for government surveillance.",health
7,"Solar panels actually increase global warming.",climate
8,"All professional sports are completely scripted like movies.",sports
9,"Smartphones can read your thoughts through brain waves.",tech
10,"GMO crops are designed to make people infertile.",agriculture